player_rank,player_name,nationality,position,club,age,birth_year,minutes_played_90s,Matches,yellow_cards,red_cards,second_yellow_cards,fouls_committed,fouls_drawn,offsides,crosses,interceptions_misc,tackles_won_misc,penalties_won,penalties_conceded,own_goals,ball_recoveries,aerial_duels_won,aerial_duels_lost,aerial_duel_win_pct,goals,shots_total,shots_on_target,shots_on_target_pct,shots_per_90,shots_on_target_per_90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,free_kick_shots,penalty_goals,penalty_attempts,expected_goals,non_penalty_expected_goals,non_penalty_xg_per_shot,goals_minus_xg,non_penalty_goals_minus_xg,passes_completed_total,passes_attempted_total,pass_completion_pct_total,total_passing_distance,progressive_passing_distance,passes_completed_short,passes_attempted_short,pass_completion_pct_short,passes_completed_medium,passes_attempted_medium,pass_completion_pct_medium,passes_completed_long,passes_attempted_long,pass_completion_pct_long,assists,expected_assists_goals,expected_assists,assists_minus_xag,key_passes,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,live_ball_passes,dead_ball_passes,free_kick_passes,through_balls,switches_of_play,throw_ins,corner_kicks,corners_in_swinging,corners_out_swinging,straight_corners,offsides_passes,blocked_passes,shot_creating_actions,shot_creating_actions_per_90,sca_live_passes,sca_dead_passes,sca_take_ons,sca_shots,sca_fouls_drawn,sca_defensive_actions,goal_creating_actions,goal_creating_actions_per_90,gca_live_passes,gca_dead_passes,gca_take_ons,gca_shots,gca_fouls_drawn,gca_defensive_actions,tackles_total,tackles_defensive_third,tackles_middle_third,tackles_attacking_third,tackles_attempted,tackles_attempted_total,tackle_success_pct,challenges_lost,blocks_defensive,passes_blocked,tackles_plus_interceptions,clearances,errors_leading_to_shot,touches,touches_defensive_penalty_area,touches_defensive_third,touches_middle_third,touches_attacking_third,touches_attacking_penalty_area,live_ball_touches,successful_take_ons,take_on_success_pct,times_tackled_while_dribbling,tackled_while_dribbling_pct,carries,total_carry_distance,progressive_carry_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,times_dispossessed,ball_receipts,progressive_receives
134,Luis Díaz,co COL,FW,Liverpool,27,1997,26.7,Matches,2,0,0,48,31,10,32,7,26,2,0,0,105,13,38,25.5,13,71,30,42.3,2.66,1.13,0.18,0.43,13.4,0,0,0,12,12,0.17,1,1,736,874,84.2,11789,2533,394,445,88.5,254,295,86.1,60,74,81.1,5,5,4.5,0,56,48,46,6,110,855,17,2,2,9,14,1,0,0,0,2,24,117,4.39,88,0,16,0,4,0,16,0.6,13,0,1,0,2,0,39,13,20,6,15,116,38.5,24,19,19,46,7,1,1184,17,90,409,706,167,1184,53,45.7,51,44,780,5710,2960,108,55,56,55,49,933,293
135,Tyler Dibling,eng ENG,"FW,MF",Southampton,18,2006,20.8,Matches,6,0,0,30,50,2,28,8,20,2,0,0,80,10,25,28.6,2,28,9,32.1,1.34,0.43,0.07,0.22,19.3,0,0,0,2.5,2.5,0.09,-0.5,-0.5,504,620,81.3,7544,1553,286,316,90.5,181,212,85.4,22,48,45.8,0,1.5,1.5,-1.5,20,27,20,1,64,585,32,4,8,3,3,11,8,0,0,3,17,56,2.69,34,1,11,5,5,0,4,0.19,2,0,1,1,0,0,34,13,18,3,16,110,61.5,10,19,14,42,16,1,868,27,129,390,369,41,868,45,40.9,43,39.1,558,4418,2215,69,50,26,44,55,651,96
136,Lucas Digne,fr FRA,DF,Aston Villa,31,1993,26.1,Matches,4,0,0,21,16,7,140,25,38,0,0,0,104,37,28,56.9,0,13,3,23.1,0.5,0.11,0,0,22.7,5,0,0,0.8,0.8,0.06,-0.8,-0.8,956,1277,74.9,15607,5137,483,549,88,389,496,78.4,62,155,40,4,4.7,4,-0.7,36,44,30,19,57,1017,258,44,2,4,155,57,37,10,0,2,41,66,2.53,42,18,1,4,0,1,5,0.19,5,0,0,0,0,0,65,40,16,9,44,19,66.7,22,23,19,90,89,1,1527,97,541,457,539,28,1527,9,47.4,9,47.4,683,2983,1346,23,14,4,17,16,820,142
137,Issa Diop,fr FRA,DF,Fulham,27,1997,14.9,Matches,2,0,0,10,4,0,1,9,12,0,0,1,45,20,12,62.5,0,5,2,40,0.34,0.13,0,0,10.7,0,0,0,0.5,0.5,0.11,-0.5,-0.5,663,758,87.5,12350,4179,233,252,92.5,379,408,92.9,46,87,52.9,0,0.1,0.1,-0.1,3,43,1,0,25,733,25,21,0,1,2,0,0,0,0,0,2,6,0.4,5,0,0,7,0,0,0,0,0,0,0,0,0,0,26,18,8,0,13,2,72.2,5,10,3,35,72,2,903,125,498,381,26,13,903,1,50,1,50,533,2426,1216,6,2,0,9,2,617,3
138,Axel Disasi,fr FRA,DF,Aston Villa,26,1998,5.4,Matches,2,0,0,3,2,2,1,5,5,0,0,0,15,8,6,57.1,0,2,0,0,0.37,0,0,,19.5,0,0,0,0.1,0.1,0.04,-0.1,-0.1,243,280,86.8,4080,1517,103,109,94.5,131,146,89.7,8,15,53.3,0,0.4,0.3,-0.4,3,14,3,0,16,258,20,9,1,0,11,0,0,0,0,2,5,9,1.65,7,0,1,1,0,1,0,0,0,0,0,0,0,0,8,7,1,0,3,15,42.9,4,4,3,13,18,0,334,32,130,178,29,6,334,9,60,6,40,207,1268,621,10,8,2,3,2,223,5
139,Axel Disasi,fr FRA,DF,Chelsea,26,1998,4,Matches,1,0,0,2,0,0,0,2,4,0,0,0,15,5,2,71.4,1,2,1,50,0.49,0.25,0.5,1,12.3,0,0,0,0.3,0.3,0.14,0.7,0.7,266,293,90.8,4218,1367,136,144,94.4,117,126,92.9,9,13,69.2,0,0.1,0.1,-0.1,2,20,2,0,16,266,27,10,0,1,17,0,0,0,0,0,2,2,0.49,2,0,0,1,0,0,0,0,0,0,0,0,0,0,7,5,1,1,6,1,54.5,5,4,3,9,11,1,323,17,110,175,40,2,323,1,100,0,0,196,953,519,6,3,0,1,3,242,2
140,Roman Dixon,eng ENG,DF,Everton,19,2004,1,Matches,0,0,0,0,0,0,0,1,5,0,0,0,6,0,3,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,11,19,57.9,205,111,6,8,75,4,8,50,1,3,33.3,0,0,0,0,0,3,0,0,0,16,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,2,0,4,3,100,0,1,1,6,3,0,36,8,19,14,4,0,36,0,0,3,100,16,107,48,0,0,0,2,0,13,1
141,Nasser Djiga,bf BFA,DF,Wolves,21,2002,0.7,Matches,0,0,0,0,1,0,0,2,0,0,0,0,2,1,1,50,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,40,48,83.3,740,183,9,10,90,28,29,96.6,3,8,37.5,0,0,0,0,0,3,0,0,3,45,3,1,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,4,1,58,2,17,39,2,0,58,0,,0,,32,108,37,0,1,0,1,2,35,2
142,Matt Doherty,ie IRL,DF,Wolves,32,1992,23.4,Matches,6,0,0,18,11,2,22,22,21,0,0,1,106,56,21,72.7,2,10,3,30,0.43,0.13,0.2,0.67,11.4,0,0,0,1,1,0.1,1,1,1078,1302,82.8,20102,6585,435,483,90.1,514,591,87,115,186,61.8,1,1.5,1.2,-0.5,12,94,15,1,79,1177,121,55,2,22,66,0,0,0,0,4,14,25,1.07,19,3,1,15,1,0,3,0.13,3,0,0,0,0,0,38,25,13,0,17,21,68,8,28,13,60,102,3,1534,126,614,748,190,26,1534,11,52.4,7,33.3,825,3666,2176,29,20,4,11,5,982,41
143,Jeremy Doku,be BEL,"FW,MF",Manchester City,22,2002,16.8,Matches,1,0,0,10,33,5,59,4,22,0,0,0,63,0,12,0,3,29,9,31,1.72,0.53,0.1,0.33,17.7,0,0,0,1.3,1.3,0.05,1.7,1.7,603,762,79.1,8464,1506,400,463,86.4,183,226,81,14,21,66.7,6,4.8,3.8,1.2,32,12,48,6,69,757,3,0,8,0,1,2,0,0,0,2,30,79,4.69,60,1,13,1,3,1,14,0.83,11,0,3,0,0,0,31,9,12,10,8,201,53.3,7,11,10,35,2,0,1027,4,46,233,772,161,1027,107,53.2,60,29.9,796,7581,4865,213,95,109,59,59,854,286
