Rk,Player,Nation,Pos,Squad,Age,Born,90s,Matches,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Live,Dead,FK_dup,TB,Sw,TI,CK,In,Out,Str,Off_dup,Blocks,SCA,SCA90,PassLive,PassDead,TO,Sh_dup,Fld_dup,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Tkl,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att_dup,Tkl%,Lost_dup,Blocks_dup,Pass,Tkl+Int,Clr,Err,Touches,Def Pen,Def 3rd_dup,Mid 3rd_dup,Att 3rd_dup,Att Pen,Live_dup,Succ,Succ%,Tkld,Tkld%,Carries,TotDist_dup,PrgDist_dup,PrgC,1/3_dup,CPA,Mis,Dis,Rec,PrgR
58,Andrea Belotti,it ITA,FW,Roma,28,1993,12.7,Matches,0,0,0,21,36,7,6,3,5,0,0,0,24,36,61,37.1,0,19,9,47.4,1.49,0.71,0.00,0.00,12.7,0,0,1,3.5,2.7,0.14,-3.5,-2.7,171,258,66.3,2169,381,103,135,76.3,45,62,72.6,5,9,55.6,2,1.6,0.7,+0.4,14,6,5,0,13,241,13,1,1,1,3,0,0,0,0,4,14,27,2.12,22,0,0,1,2,0,3,0.24,3,0,0,0,0,0,12,3,5,4,5,33,45.5,6,11,10,15,5,0,404,7,34,164,210,52,403,7,21.2,18,54.5,226,1235,452,21,14,11,34,15,322,94
59,Marco Benassi,it ITA,DF,Fiorentina,27,1994,1.0,Matches,0,0,0,1,1,0,7,1,3,0,0,0,10,3,2,60.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,91,105,86.7,2107,426,32,32,100.0,33,41,80.5,26,31,83.9,0,0.1,0.1,-0.1,1,11,1,0,9,94,11,5,0,4,6,0,0,0,0,0,1,1,0.97,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,3,2,0,1,3,1,75.0,1,0,0,4,1,0,112,1,25,64,24,3,112,0,0.0,0,0.0,81,284,120,0,4,0,1,1,85,6
60,Marco Benassi,it ITA,MF,Cremonese,27,1994,11.1,Matches,1,0,0,10,6,0,24,12,15,0,0,0,71,5,15,25.0,0,19,8,42.1,1.71,0.72,0.00,0.00,19.9,0,0,0,1.3,1.3,0.07,-1.3,-1.3,248,344,72.1,4318,1060,115,136,84.6,109,138,79.0,20,44,45.5,0,0.4,0.5,-0.4,7,17,4,2,27,301,41,6,1,2,5,13,3,8,0,2,14,19,1.72,9,6,1,1,0,1,1,0.09,1,0,0,0,0,0,26,9,11,6,15,9,62.5,9,13,12,38,19,0,461,20,109,221,136,17,461,8,88.9,0,0.0,225,1193,439,10,14,0,12,10,224,30
61,Ismaël Bennacer,dz ALG,MF,Milan,24,1997,22.3,Matches,5,0,0,36,25,1,79,26,33,0,0,0,186,22,22,50.0,2,16,3,18.8,0.72,0.13,0.13,0.67,25.0,3,0,0,1.0,1.0,0.06,+1.0,+1.0,1219,1423,85.7,21142,5792,565,616,91.7,451,505,89.3,151,228,66.2,2,3.3,3.1,-1.3,43,123,28,4,132,1309,112,54,4,11,5,51,19,27,0,2,16,87,3.90,59,18,1,7,4,2,4,0.18,1,1,0,1,0,1,59,26,31,2,30,49,58.8,21,25,18,85,16,1,1666,30,300,1023,369,10,1666,27,55.1,13,26.5,985,5133,2012,30,30,4,42,23,1097,52
62,Domenico Berardi,it ITA,FW,Sassuolo,27,1994,20.7,Matches,7,0,0,33,49,8,83,19,14,2,0,0,84,13,21,38.2,12,75,19,25.3,3.62,0.92,0.07,0.26,22.0,4,7,8,11.3,5.0,0.07,+0.7,0.0,614,909,67.5,12161,3346,260,343,75.8,224,317,70.7,109,173,63.0,7,6.6,5.9,+0.4,45,38,56,10,114,831,76,21,6,39,12,43,25,6,0,2,30,105,5.07,78,10,5,0,6,1,17,0.82,10,1,1,3,2,0,23,8,10,5,9,50,22.5,31,13,13,42,18,0,1180,17,102,463,629,111,1172,22,44.0,20,40.0,765,3799,1576,56,29,30,60,23,905,213
63,Bartosz Bereszyński,pl POL,DF,Sampdoria,30,1992,13.3,Matches,1,0,0,13,10,0,31,21,18,0,0,0,68,18,11,62.1,0,3,0,0.0,0.23,0.00,0.00,,21.4,0,0,0,0.1,0.1,0.04,-0.1,-0.1,471,644,73.1,6989,3219,286,316,90.5,143,210,68.1,28,73,38.4,0,0.1,0.3,-0.1,3,32,10,3,44,480,161,28,0,1,133,0,0,0,0,3,19,8,0.60,6,0,0,4,0,1,0,0.00,0,0,0,0,0,0,28,15,11,2,17,15,65.4,9,18,14,49,25,0,759,48,255,317,198,13,759,4,26.7,11,73.3,329,1643,860,20,16,1,12,5,354,40
64,Bartosz Bereszyński,pl POL,DF,Napoli,30,1992,1.8,Matches,1,0,0,2,2,0,0,3,2,0,0,0,14,2,1,66.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,87,105,82.9,1252,420,54,59,91.5,26,33,78.8,4,5,80.0,1,0.2,0.1,+0.8,2,5,3,0,7,84,21,1,0,2,20,0,0,0,0,0,3,2,1.09,2,0,0,0,0,0,1,0.55,1,0,0,0,0,0,3,1,1,1,2,3,100.0,0,4,4,6,3,0,124,6,33,60,32,1,124,1,33.3,2,66.7,61,342,173,8,7,0,1,1,66,7
65,Marco Bertini,it ITA,MF,Lazio,19,2002,0.0,Matches,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0
66,Beto,gw GNB,FW,Udinese,24,1998,23.7,Matches,2,0,0,36,26,9,9,6,9,0,0,0,31,70,64,52.2,10,60,20,33.3,2.54,0.85,0.15,0.45,13.7,0,1,1,10.9,10.1,0.17,-0.9,-1.1,190,299,63.5,2421,295,128,179,71.5,40,67,59.7,7,13,53.8,1,2.6,1.9,-1.6,23,9,4,0,13,289,9,0,0,0,0,0,0,0,0,1,11,49,2.07,31,0,8,3,5,0,4,0.17,3,0,1,0,0,0,16,0,9,7,4,76,23.5,13,18,15,22,30,0,652,34,49,274,336,130,651,32,42.1,40,52.6,364,1825,594,25,15,14,114,43,475,121
67,Matteo Bianchetti,it ITA,DF,Cremonese,29,1993,23.7,Matches,5,0,0,18,10,0,3,20,19,0,1,0,137,63,40,61.2,1,7,4,57.1,0.30,0.17,0.14,0.25,10.9,0,0,0,0.8,0.8,0.11,+0.2,+0.2,729,935,78.0,14388,6137,242,281,86.1,400,455,87.9,79,171,46.2,0,0.5,0.5,-0.5,5,49,8,2,47,870,61,44,0,2,1,0,0,0,0,4,8,16,0.68,11,4,0,17,0,0,0,0.00,0,0,0,0,0,0,32,21,9,2,20,3,62.5,12,31,14,52,111,0,1169,188,692,447,37,13,1169,2,66.7,1,33.3,552,2612,1377,6,2,0,6,3,586,4
