Rk,Player,Nation,Pos,Squad,Age,Born,90s,Matches,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Live,Dead,FK_dup,TB,Sw,TI,CK,In,Out,Str,Off_dup,Blocks,SCA,SCA90,PassLive,PassDead,TO,Sh_dup,Fld_dup,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Tkl,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att_dup,Tkl%,Lost_dup,Blocks_dup,Pass,Tkl+Int,Clr,Err,Touches,Def Pen,Def 3rd_dup,Mid 3rd_dup,Att 3rd_dup,Att Pen,Live_dup,Succ,Succ%,Tkld,Tkld%,Carries,TotDist_dup,PrgDist_dup,PrgC,1/3_dup,CPA,Mis,Dis,Rec,PrgR
143,Marco D'Alessandro,it ITA,"DF,FW",Monza,31,1991,3.2,Matches,2,0,0,6,9,1,13,1,4,0,0,0,19,2,2,50.0,0,4,1,25.0,1.24,0.31,0.00,0.00,16.1,0,0,0,0.3,0.3,0.08,-0.3,-0.3,79,115,68.7,1182,302,50,57,87.7,23,36,63.9,4,9,44.4,0,0.2,0.1,-0.2,3,4,0,0,3,100,14,2,0,0,12,0,0,0,0,1,3,8,2.49,7,0,0,0,1,0,1,0.31,1,0,0,0,0,0,4,3,1,0,2,5,40.0,3,2,2,5,3,0,141,1,37,55,52,10,141,1,20.0,3,60.0,80,713,329,14,4,5,4,5,89,19
144,Danilo D'Ambrosio,it ITA,DF,Inter,33,1988,8.1,Matches,3,1,0,16,11,0,9,10,17,1,0,0,39,8,9,47.1,0,3,2,66.7,0.37,0.25,0.00,0.00,8.4,0,0,0,0.3,0.3,0.09,-0.3,-0.3,493,557,88.5,8396,2823,212,222,95.5,246,270,91.1,26,51,51.0,2,0.7,0.6,+1.3,7,26,5,1,34,530,26,13,0,2,13,0,0,0,0,1,2,17,2.09,14,0,1,4,1,0,2,0.25,2,0,0,0,0,0,25,17,7,1,15,6,55.6,12,12,8,35,17,0,635,58,303,269,64,12,635,1,16.7,3,50.0,424,1843,988,8,7,2,7,2,467,17
145,Luca D'Andrea,it ITA,FW,Sassuolo,17,2004,3.5,Matches,0,0,0,4,9,1,7,1,0,0,0,0,13,2,3,40.0,0,7,3,42.9,1.99,0.85,0.00,0.00,17.0,0,0,0,0.3,0.3,0.04,-0.3,-0.3,61,84,72.6,896,334,32,42,76.2,24,31,77.4,3,6,50.0,1,0.8,0.4,+0.2,10,6,3,2,9,80,4,0,1,0,1,3,0,0,0,0,1,16,4.56,12,1,2,0,0,0,1,0.28,1,0,0,0,0,0,4,2,1,1,1,12,25.0,3,2,2,5,1,0,129,0,17,61,53,12,129,4,33.3,6,50.0,81,535,314,11,4,5,11,7,91,29
146,Flavius Daniliuc,at AUT,DF,Salernitana,21,2001,24.4,Matches,9,0,0,33,4,0,0,29,29,0,0,0,132,39,28,58.2,0,10,4,40.0,0.41,0.16,0.00,0.00,13.1,1,0,0,0.6,0.6,0.07,-0.6,-0.6,969,1127,86.0,18211,7113,377,415,90.8,475,524,90.6,101,153,66.0,2,0.5,0.2,+1.5,7,56,2,0,70,1078,46,37,0,10,9,0,0,0,0,3,11,18,0.74,15,1,0,13,0,0,0,0.00,0,0,0,0,0,0,57,37,17,3,26,5,55.3,21,30,17,86,76,0,1374,200,757,572,58,16,1374,2,40.0,3,60.0,727,3691,1769,14,10,0,14,4,843,5
147,Danilo,br BRA,DF,Juventus,31,1991,35.4,Matches,5,0,0,33,17,0,18,47,62,0,2,0,196,53,38,58.2,3,32,5,15.6,0.90,0.14,0.09,0.60,15.0,1,0,0,2.8,2.8,0.09,+0.2,+0.2,1884,2225,84.7,36469,13783,701,778,90.1,914,998,91.6,249,392,63.5,3,2.4,1.3,+0.6,19,187,13,3,176,2015,202,56,4,18,127,0,0,0,0,8,19,62,1.75,54,1,0,20,2,0,4,0.11,3,0,0,1,0,0,92,61,23,8,52,23,71.2,21,39,19,139,114,1,2597,271,1054,1304,257,45,2597,7,30.4,9,39.1,1380,6329,3479,39,26,1,22,9,1685,43
148,Matteo Darmian,it ITA,DF,Inter,32,1989,22.5,Matches,3,0,0,21,20,3,28,21,30,0,0,0,121,15,23,39.5,1,7,1,14.3,0.31,0.04,0.14,1.00,20.5,0,0,0,1.0,1.0,0.14,0.0,0.0,1190,1376,86.5,21419,7160,477,512,93.2,598,664,90.1,97,155,62.6,2,1.9,2.0,+0.1,19,68,18,10,88,1246,127,18,2,16,109,0,0,0,0,3,17,39,1.73,33,4,0,5,1,1,4,0.18,3,0,0,0,1,0,56,29,15,12,31,25,66.0,16,33,28,77,36,0,1564,94,580,754,241,23,1564,9,36.0,9,36.0,914,3627,1984,22,18,4,14,10,1087,96
149,Juan David Cabal,co COL,DF,Hellas Verona,21,2001,4.9,Matches,3,0,0,7,2,1,8,13,6,0,0,0,41,18,15,54.5,0,1,1,100.0,0.20,0.20,0.00,0.00,32.6,0,0,0,0.0,0.0,0.02,0.0,0.0,166,223,74.4,3165,1118,63,73,86.3,79,91,86.8,20,46,43.5,0,0.3,0.1,-0.3,2,15,3,2,17,209,14,7,0,7,7,0,0,0,0,0,7,8,1.62,7,1,0,5,0,0,0,0.00,0,0,0,0,0,0,10,7,3,0,7,4,58.3,5,8,3,23,12,0,279,29,134,136,16,1,279,3,75.0,0,0.0,139,642,358,4,5,0,4,3,141,8
150,Paweł Dawidowicz,pl POL,DF,Hellas Verona,27,1995,18.1,Matches,6,1,0,37,13,1,13,23,31,0,0,0,120,43,27,61.4,1,11,2,18.2,0.61,0.11,0.09,0.50,10.7,0,0,0,1.1,1.1,0.10,-0.1,-0.1,613,827,74.1,11131,4374,258,296,87.2,277,354,78.2,69,146,47.3,1,0.8,0.3,+0.2,5,47,2,0,60,756,70,31,1,1,39,0,0,0,0,1,11,16,0.88,13,1,0,9,0,1,1,0.06,0,0,0,1,0,0,48,28,17,3,22,8,71.0,9,14,5,71,71,0,1018,91,483,450,96,17,1018,1,12.5,4,50.0,463,2270,1282,20,13,1,8,4,498,17
151,Charles De Ketelaere,be BEL,"MF,FW",Milan,21,2001,12.4,Matches,2,0,0,19,15,2,10,4,12,0,0,0,56,19,30,38.8,0,19,3,15.8,1.53,0.24,0.00,0.00,12.5,0,0,0,2.0,2.0,0.11,-2.0,-2.0,299,383,78.1,4161,1234,183,225,81.3,95,110,86.4,11,16,68.8,1,2.0,1.8,-1.0,20,28,19,0,59,362,21,2,2,2,9,0,0,0,0,0,13,47,3.79,39,2,4,2,2,0,2,0.16,2,0,0,0,0,0,26,7,14,5,13,59,43.3,17,14,12,30,9,0,533,10,50,241,252,60,533,36,61.0,16,27.1,313,2178,1149,45,26,14,25,30,351,69
152,Manuel De Luca,it ITA,"FW,MF",Sampdoria,24,1998,0.5,Matches,0,0,0,3,2,0,0,0,0,0,0,0,1,0,3,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,5,8,62.5,66,1,3,5,60.0,2,3,66.7,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,1,2.00,0,0,0,0,1,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,14,0,0,9,5,2,14,0,,0,,14,52,7,0,0,0,2,2,14,4
153,Tommaso De Nipoti,it ITA,MF,Atalanta,19,2003,0.0,Matches,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,100.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,3,5,60.0,85,20,1,2,50.0,1,2,50.0,1,1,100.0,0,0.0,0.0,0.0,0,1,0,0,1,5,0,0,0,1,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,1,0,1,0,0,1,,0,0,0,1,0,0,6,0,0,5,2,1,6,1,100.0,0,0.0,3,24,23,1,1,0,0,0,3,0
154,Mattia De Sciglio,it ITA,DF,Juventus,29,1992,11.6,Matches,0,0,0,4,11,0,26,4,7,0,0,0,40,10,11,47.6,0,4,0,0.0,0.35,0.00,0.00,,27.6,0,0,0,0.1,0.1,0.02,-0.1,-0.1,450,569,79.1,8035,3019,189,227,83.3,213,252,84.5,44,75,58.7,0,0.5,0.4,-0.5,8,51,8,6,50,475,93,7,0,6,86,0,0,0,0,1,4,15,1.30,14,0,0,3,1,0,1,0.09,1,0,0,0,0,0,14,8,3,3,9,9,64.3,5,9,6,18,20,0,652,30,190,338,127,4,652,2,22.2,3,33.3,343,1610,755,16,12,0,8,7,406,40
155,Lorenzo De Silvestri,it ITA,DF,Bologna,34,1988,7.5,Matches,1,0,0,6,6,2,7,3,2,0,0,1,39,14,12,53.8,1,5,3,60.0,0.67,0.40,0.20,0.33,12.0,0,0,0,0.6,0.6,0.13,+0.4,+0.4,330,430,76.7,5002,2370,182,202,90.1,127,168,75.6,11,40,27.5,0,0.2,0.2,-0.2,6,29,4,1,31,352,78,6,1,1,72,0,0,0,0,0,6,11,1.47,11,0,0,5,0,0,0,0.00,0,0,0,0,0,0,3,2,0,1,3,4,42.9,4,6,1,6,20,0,484,27,172,237,81,7,484,2,50.0,1,25.0,261,1371,800,18,12,0,6,5,289,17
156,Koni De Winter,be BEL,DF,Empoli,20,2002,11.4,Matches,3,0,0,13,2,0,0,6,9,0,0,0,58,16,11,59.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,424,494,85.8,7908,2790,166,181,91.7,226,249,90.8,31,58,53.4,0,0.2,0.1,-0.2,2,15,1,0,22,473,21,13,0,0,1,0,0,0,0,0,2,5,0.44,5,0,0,12,0,0,0,0.00,0,0,0,0,0,0,14,11,3,0,5,2,38.5,8,14,2,20,65,0,614,118,405,207,6,0,614,1,50.0,1,50.0,347,1854,819,2,1,0,8,3,370,0
157,Grégoire Defrel,mq MTQ,FW,Sassuolo,31,1991,13.0,Matches,3,0,0,14,14,6,1,2,7,0,0,0,29,6,24,20.0,2,16,10,62.5,1.23,0.77,0.13,0.20,11.8,0,0,0,3.5,3.5,0.22,-1.5,-1.5,211,250,84.4,2451,347,138,151,91.4,46,56,82.1,3,9,33.3,1,0.5,0.2,+0.5,9,12,1,0,10,219,31,0,1,1,1,2,1,0,0,0,5,16,1.23,14,0,0,0,1,0,1,0.08,1,0,0,0,0,0,9,5,2,2,4,21,30.8,9,11,11,11,5,0,362,7,34,175,159,34,362,7,33.3,14,66.7,216,1003,331,11,12,2,28,17,254,75
158,Duccio Degl'Innocenti,it ITA,MF,Empoli,19,2003,0.0,Matches,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,1,0,0,1,0,0,1,0,0,1,0,,0,,1,10,0,0,0,0,0,0,0,0
159,Merih Demiral,tr TUR,DF,Atalanta,24,1998,17.1,Matches,5,0,0,13,13,1,2,24,29,0,0,0,123,52,29,64.2,1,6,1,16.7,0.35,0.06,0.17,1.00,13.7,0,0,0,0.7,0.7,0.12,+0.3,+0.3,560,653,85.8,10454,2949,204,225,90.7,293,330,88.8,54,85,63.5,0,0.5,0.5,-0.5,4,14,1,1,26,587,66,41,0,3,2,0,0,0,0,0,1,4,0.23,4,0,0,7,0,0,0,0.00,0,0,0,0,0,0,41,30,11,0,26,9,72.2,10,24,17,65,57,1,832,140,495,319,28,14,832,2,22.2,5,55.6,348,1662,564,3,5,1,6,2,374,4
160,Diego Demme,de GER,MF,Napoli,30,1991,1.6,Matches,0,0,0,2,3,0,0,0,0,0,0,0,5,2,1,66.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,181,191,94.8,3026,924,84,86,97.7,78,80,97.5,16,18,88.9,0,0.0,0.1,0.0,1,13,1,0,16,187,4,4,0,0,0,0,0,0,0,0,1,3,1.85,3,0,0,0,0,0,1,0.62,1,0,0,0,0,0,1,1,0,0,0,4,0.0,4,2,2,1,1,0,205,6,30,153,22,0,205,2,50.0,1,25.0,143,612,270,3,1,0,3,1,183,1
161,Fabio Depaoli,it ITA,DF,Hellas Verona,25,1997,24.1,Matches,7,0,0,43,31,4,60,18,28,0,0,0,113,24,39,38.1,2,19,4,21.1,0.79,0.17,0.11,0.50,16.0,0,0,0,1.7,1.7,0.09,+0.3,+0.3,440,685,64.2,8131,4636,178,231,77.1,203,293,69.3,51,116,44.0,2,1.2,1.3,+0.8,16,40,22,13,66,499,183,5,1,2,176,2,1,1,0,3,17,43,1.78,27,9,1,6,5,1,4,0.17,3,1,0,0,0,0,48,25,16,7,25,46,56.8,19,32,26,66,33,3,953,51,238,411,317,35,953,11,23.9,27,58.7,408,1989,972,28,14,4,38,18,422,76
162,Fabio Depaoli,it ITA,"DF,MF",Sampdoria,25,1997,1.5,Matches,1,0,0,1,7,0,8,1,3,0,0,0,6,0,2,0.0,0,2,0,0.0,1.32,0.00,0.00,,13.6,0,0,0,0.2,0.2,0.09,-0.2,-0.2,74,95,77.9,1373,584,31,36,86.1,31,36,86.1,11,21,52.4,0,0.4,0.3,-0.4,4,6,4,4,10,75,20,1,1,0,19,0,0,0,0,0,1,6,3.97,5,0,0,0,1,0,0,0.00,0,0,0,0,0,0,5,2,3,0,3,7,75.0,1,1,1,6,4,0,117,6,28,56,34,3,117,3,42.9,2,28.6,73,347,184,2,3,0,2,1,70,6
163,Kastriot Dermaku,al ALB,DF,Lecce,30,1992,0.4,Matches,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,1,2,50.0,27,0,0,0,,1,2,50.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,0,2,0,0,2,0,,0,,0,0,0,0,0,0,0,0,0,0
164,Cyriel Dessers,ng NGA,FW,Cremonese,27,1994,17.6,Matches,3,0,0,34,14,24,8,3,4,0,0,0,30,16,48,25.0,6,49,12,24.5,2.78,0.68,0.12,0.50,13.6,0,0,1,7.1,6.4,0.13,-1.1,-0.4,180,280,64.3,2509,437,107,153,69.9,58,81,71.6,7,14,50.0,1,1.6,1.5,-0.6,23,11,8,1,27,250,29,0,1,1,3,0,0,0,0,1,9,44,2.49,28,2,5,2,3,1,2,0.11,1,0,1,0,0,0,11,4,4,3,2,36,33.3,4,14,12,14,5,0,466,8,18,162,289,115,465,13,36.1,22,61.1,268,1302,530,21,10,24,61,21,340,110
165,Sergiño Dest,us USA,DF,Milan,21,2000,3.7,Matches,0,0,0,6,4,0,4,4,6,0,1,0,29,3,1,75.0,0,2,1,50.0,0.55,0.27,0.00,0.00,20.3,0,0,0,0.3,0.3,0.15,-0.3,-0.3,169,198,85.4,2535,793,95,102,93.1,65,73,89.0,5,12,41.7,0,0.3,0.2,-0.3,4,15,3,1,14,154,44,1,0,1,43,0,0,0,0,0,5,11,3.00,8,2,1,0,0,0,1,0.27,1,0,0,0,0,0,12,3,5,4,3,18,75.0,1,1,1,16,2,0,246,7,75,116,61,3,246,8,44.4,9,50.0,134,827,470,11,3,0,3,5,137,12
166,Mattia Destro,it ITA,"FW,MF",Empoli,31,1991,6.4,Matches,3,0,0,12,5,7,2,1,1,0,1,0,9,8,20,28.6,1,20,7,35.0,3.15,1.10,0.05,0.14,14.8,0,0,0,1.4,1.4,0.07,-0.4,-0.4,44,79,55.7,518,127,32,45,71.1,6,19,31.6,3,5,60.0,0,0.4,0.3,-0.4,4,1,2,0,4,74,5,0,0,0,0,0,0,0,0,0,5,11,1.73,5,0,3,0,2,0,1,0.16,1,0,0,0,0,0,1,0,1,0,0,8,,0,2,2,2,5,0,139,6,12,59,68,26,139,4,50.0,4,50.0,79,286,108,4,1,3,14,5,102,20
167,Gerard Deulofeu,es ESP,FW,Udinese,28,1994,13.5,Matches,1,0,0,8,11,8,59,2,5,0,0,0,44,1,4,20.0,2,44,12,27.3,3.27,0.89,0.05,0.17,17.4,10,0,0,5.1,5.1,0.11,-3.1,-3.1,443,588,75.3,6574,2331,260,294,88.4,139,181,76.8,27,64,42.2,6,4.4,4.0,+1.6,48,40,42,2,82,475,110,27,1,0,14,43,20,14,0,3,14,82,6.09,54,14,6,1,3,0,9,0.67,7,2,0,0,0,0,8,5,1,2,5,45,33.3,10,8,7,10,1,0,725,5,44,295,400,82,725,20,44.4,21,46.7,455,3177,2005,72,39,33,22,18,506,118
168,Samuel Di Carmine,it ITA,"FW,MF",Cremonese,33,1988,0.3,Matches,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0.0,0,1,0,0.0,3.21,0.00,0.00,,11.0,0,0,0,0.1,0.1,0.09,-0.1,-0.1,6,8,75.0,79,30,4,5,80.0,0,0,,1,1,100.0,0,0.0,0.0,0.0,0,1,0,0,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,1,,0,0,0,0,0,0,9,0,0,4,5,2,9,1,100.0,0,0.0,6,31,6,1,0,0,0,0,6,2
169,Federico Di Francesco,it ITA,"FW,MF",Lecce,28,1994,22.6,Matches,5,0,0,43,32,13,45,8,16,1,0,0,86,7,21,25.0,2,39,16,41.0,1.73,0.71,0.05,0.13,17.4,1,0,0,3.2,3.2,0.08,-1.2,-1.2,340,511,66.5,4915,1626,191,230,83.0,105,156,67.3,22,63,34.9,2,2.7,2.2,-0.7,25,29,18,3,60,466,42,2,7,3,11,29,0,2,0,3,24,49,2.17,29,5,5,0,6,2,5,0.22,2,1,1,1,0,0,28,7,11,10,9,49,45.0,11,16,16,36,14,0,745,14,88,289,382,82,745,17,34.7,27,55.1,448,2752,1392,50,27,18,56,28,501,177
170,Michele Di Gregorio,it ITA,GK,Monza,25,1997,37.0,Matches,0,0,0,0,3,0,0,4,0,0,0,0,31,4,1,80.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,1151,1515,76.0,29670,19870,259,259,100.0,539,553,97.5,347,694,50.0,1,0.0,0.1,+1.0,1,16,1,0,0,1162,350,103,0,9,0,0,0,0,0,3,0,3,0.08,3,0,0,0,0,0,1,0.03,1,0,0,0,0,0,0,0,0,0,0,2,0.0,3,1,1,4,18,3,1607,1324,1600,7,0,0,1607,2,100.0,0,0.0,973,5309,3519,0,0,0,1,1,841,0
171,Giovanni Di Lorenzo,it ITA,DF,Napoli,28,1993,36.2,Matches,2,0,0,31,36,4,88,30,29,0,0,0,171,41,34,54.7,3,31,13,41.9,0.86,0.36,0.10,0.23,11.8,0,0,0,2.7,2.7,0.09,+0.3,+0.3,2272,2687,84.6,36646,12660,1208,1303,92.7,847,971,87.2,165,259,63.7,4,4.7,4.4,-0.7,47,177,61,9,256,2311,366,58,5,25,304,2,0,0,0,10,61,111,3.07,93,5,1,9,3,3,13,0.36,13,0,0,0,0,0,60,33,19,8,25,33,51.0,24,30,21,90,60,0,2957,104,715,1476,788,94,2957,12,36.4,17,51.5,1842,7948,4413,73,62,4,21,17,2119,182
172,Ángel Di María,ar ARG,"FW,MF",Juventus,34,1988,15.1,Matches,1,1,0,6,24,4,97,7,5,0,0,0,52,1,6,14.3,4,37,12,32.4,2.44,0.79,0.08,0.25,21.5,1,1,1,3.1,2.3,0.06,+0.9,+0.7,487,675,72.1,9081,3166,220,251,87.6,181,233,77.7,74,141,52.5,4,4.5,4.1,-0.5,42,63,41,8,96,571,97,29,7,14,16,44,16,25,0,7,21,83,5.48,45,24,6,0,1,1,7,0.46,5,2,0,0,0,0,10,3,5,2,3,80,15.8,16,15,15,17,0,0,851,2,71,372,426,46,850,32,40.0,41,51.3,553,3846,1823,56,43,13,32,26,640,95
173,Boulaye Dia,sn SEN,"FW,MF",Salernitana,25,1996,28.0,Matches,4,0,0,28,43,13,6,7,5,0,0,0,97,20,58,25.6,16,47,21,44.7,1.68,0.75,0.32,0.71,15.0,0,1,1,8.8,8.0,0.17,+7.2,+7.0,449,589,76.2,6689,1268,238,287,82.9,148,184,80.4,29,39,74.4,6,3.1,1.9,+2.9,35,31,16,2,50,566,20,0,2,7,3,0,0,0,0,3,30,64,2.29,53,0,3,0,3,0,9,0.32,8,0,1,0,0,0,12,3,6,3,2,88,28.6,5,10,10,19,27,1,885,31,113,427,364,75,884,35,39.8,39,44.3,610,4033,1545,48,47,13,71,61,673,140
174,Brahim Díaz,ma MAR,"MF,FW",Milan,22,1999,21.4,Matches,3,0,0,29,50,2,20,7,15,1,0,0,100,4,24,14.3,6,35,16,45.7,1.64,0.75,0.17,0.38,14.5,1,0,0,6.0,6.0,0.17,0.0,0.0,575,719,80.0,8239,2469,329,375,87.7,193,231,83.5,26,46,56.5,7,5.6,3.4,+1.4,41,80,40,3,121,677,37,8,11,2,9,6,0,4,0,5,24,96,4.49,69,1,12,0,7,1,18,0.84,8,0,6,2,1,1,32,5,22,5,5,86,33.3,10,11,11,39,6,0,990,6,63,538,413,65,990,39,45.3,40,46.5,691,4623,2512,80,68,17,74,48,763,116
175,Federico Dimarco,it ITA,DF,Inter,24,1997,23.0,Matches,0,0,0,12,30,5,207,18,25,0,1,0,122,5,12,29.4,4,49,15,30.6,2.13,0.65,0.08,0.27,20.7,7,0,0,3.1,3.1,0.06,+0.9,+0.9,925,1257,73.6,17591,5969,392,448,87.5,377,472,79.9,129,268,48.1,3,6.9,5.5,-3.9,59,67,42,28,88,1035,220,39,0,21,116,60,16,36,0,2,21,103,4.48,64,29,1,4,3,1,8,0.35,6,0,1,1,0,0,31,6,18,7,9,20,47.4,10,15,11,49,20,0,1451,40,312,552,600,72,1451,5,25.0,13,65.0,776,3457,1846,45,29,6,18,11,955,189
176,Koffi Djidji,ci CIV,DF,Torino,29,1992,26.9,Matches,3,0,0,27,3,1,13,34,25,0,2,0,141,47,50,48.5,1,8,4,50.0,0.30,0.15,0.13,0.25,12.2,0,0,0,0.9,0.9,0.12,+0.1,+0.1,1249,1441,86.7,22239,6388,504,543,92.8,617,672,91.8,101,171,59.1,0,0.1,0.3,-0.1,2,81,5,2,83,1408,30,15,1,10,14,0,0,0,0,3,20,18,0.67,16,0,0,14,0,2,1,0.04,1,0,0,0,0,0,50,32,17,1,18,5,56.3,14,29,15,84,72,0,1678,129,754,844,90,8,1678,4,80.0,1,20.0,919,3316,1486,11,10,0,7,6,1123,13
177,Berat Djimsiti,al ALB,DF,Atalanta,29,1993,20.0,Matches,3,0,0,15,8,0,0,36,19,0,0,0,112,59,42,58.4,0,5,0,0.0,0.25,0.00,0.00,,7.6,0,0,0,0.6,0.6,0.12,-0.6,-0.6,953,1093,87.2,16622,5292,419,457,91.7,451,495,91.1,68,109,62.4,1,0.2,0.5,+0.8,4,48,2,0,45,1047,45,29,0,3,15,0,0,0,0,1,8,10,0.50,8,0,0,7,1,0,4,0.20,3,0,0,1,0,0,34,21,13,0,17,7,68.0,8,17,10,70,74,1,1294,140,647,587,64,15,1294,4,57.1,2,28.6,700,3099,1396,7,7,1,10,5,817,9
178,Dodô,br BRA,DF,Fiorentina,23,1998,25.9,Matches,5,1,1,28,40,0,61,25,22,0,1,0,184,19,13,59.4,1,11,4,36.4,0.42,0.15,0.09,0.25,20.5,0,0,0,0.7,0.7,0.06,+0.3,+0.3,1222,1504,81.3,21567,6692,535,596,89.8,548,657,83.4,117,191,61.3,3,2.2,2.0,+0.8,28,93,29,10,141,1272,229,21,2,8,208,0,0,0,0,3,28,65,2.51,58,2,1,2,1,1,5,0.19,5,0,0,0,0,0,40,20,14,6,22,62,47.8,24,26,24,65,37,0,1719,52,464,813,462,24,1719,34,54.8,21,33.9,1028,6650,3625,72,58,7,35,15,1083,104
179,Josh Doig,sct SCO,DF,Hellas Verona,20,2002,15.0,Matches,1,0,0,14,7,2,46,11,8,0,0,0,93,16,23,41.0,2,18,6,33.3,1.20,0.40,0.11,0.33,16.1,0,0,0,1.8,1.8,0.10,+0.2,+0.2,360,534,67.4,6111,2875,181,220,82.3,141,207,68.1,32,70,45.7,3,1.2,1.3,+1.8,12,28,12,8,27,412,119,1,0,0,116,2,2,0,0,3,21,35,2.32,23,6,3,6,2,0,7,0.46,5,0,1,0,1,0,19,6,7,6,6,54,37.5,10,25,19,30,13,1,705,27,191,276,256,27,705,23,42.6,22,40.7,336,2325,1064,41,24,5,33,16,360,61
180,Nicolás Domínguez,ar ARG,MF,Bologna,24,1998,25.6,Matches,10,0,0,43,32,2,19,21,49,0,1,0,167,37,27,57.8,3,42,17,40.5,1.64,0.67,0.07,0.18,22.5,0,0,0,2.6,2.6,0.06,+0.4,+0.4,1169,1420,82.3,18139,5084,618,693,89.2,408,483,84.5,85,130,65.4,2,2.9,2.8,-0.9,36,118,25,2,147,1335,73,43,19,14,26,0,0,0,0,12,25,70,2.74,60,2,3,3,3,1,5,0.20,5,0,0,0,0,0,79,34,33,12,39,38,50.6,38,29,26,100,29,1,1703,47,308,991,419,37,1703,24,63.2,12,31.6,908,3910,1802,39,41,5,50,21,1170,84
181,Giulio Donati,it ITA,DF,Monza,32,1990,4.7,Matches,4,2,1,7,6,0,9,4,1,0,0,0,21,4,3,57.1,1,2,1,50.0,0.43,0.21,0.50,1.00,19.2,0,0,0,0.4,0.4,0.20,+0.6,+0.6,273,321,85.0,5396,1868,94,104,90.4,143,159,89.9,33,46,71.7,0,0.1,0.1,-0.1,1,19,0,0,21,285,34,9,0,4,24,1,0,0,0,2,4,4,0.85,2,1,0,1,1,0,0,0.00,0,0,0,0,0,0,4,1,1,2,3,3,50.0,3,3,2,8,11,0,350,26,151,159,45,1,350,1,33.3,2,66.7,219,947,469,5,6,0,3,1,259,8
182,Bartłomiej Drągowski,pl POL,GK,Spezia,24,1997,32.7,Matches,1,0,0,0,6,0,0,1,0,0,0,0,38,8,1,88.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,808,1173,68.9,21748,14971,205,206,99.5,355,362,98.1,240,594,40.4,1,0.1,0.2,+0.9,1,22,3,0,0,889,282,86,0,3,0,0,0,0,0,2,1,7,0.21,6,1,0,0,0,0,2,0.06,2,0,0,0,0,0,1,1,0,0,1,0,20.0,4,0,0,2,15,3,1265,1027,1258,7,0,0,1265,0,,0,,757,4042,2471,0,0,0,0,0,646,0
183,Ondrej Duda,sk SVK,MF,Hellas Verona,27,1994,11.8,Matches,4,0,0,17,26,0,14,13,14,0,0,0,107,11,14,44.0,0,13,4,30.8,1.10,0.34,0.00,0.00,22.6,1,0,0,0.8,0.8,0.07,-0.8,-0.8,323,433,74.6,5654,1659,148,177,83.6,128,154,83.1,35,64,54.7,0,0.3,0.5,-0.3,5,42,5,1,44,400,30,10,2,6,2,7,4,1,0,3,9,20,1.69,13,1,1,0,2,1,2,0.17,1,0,0,1,0,0,22,7,12,3,9,34,56.3,7,11,11,35,8,0,573,20,86,363,131,11,573,20,58.8,8,23.5,311,1850,701,15,14,0,14,17,302,22
