Rk,Player,Nation,Pos,Squad,Age,Born,90s,Matches,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Live,Dead,FK_dup,TB,Sw,TI,CK,In,Out,Str,Off_dup,Blocks,SCA,SCA90,PassLive,PassDead,TO,Sh_dup,Fld_dup,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Tkl,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att_dup,Tkl%,Lost_dup,Blocks_dup,Pass,Tkl+Int,Clr,Err,Touches,Def Pen,Def 3rd_dup,Mid 3rd_dup,Att 3rd_dup,Att Pen,Live_dup,Succ,Succ%,Tkld,Tkld%,Carries,TotDist_dup,PrgDist_dup,PrgC,1/3_dup,CPA,Mis,Dis,Rec,PrgR
518,Iván Sánchez,es ESP,"MF,FW",Valladolid,29,1992,12.8,Matches,0,0,0,9,43,1,38,8,14,0,0,0,62,2,12,14.3,1,17,7,41.2,1.33,0.55,0.06,0.14,22.6,0,0,0,0.8,0.8,0.05,+0.2,+0.2,381,480,79.4,6282,1895,175,201,87.1,160,183,87.4,29,53,54.7,1,1.6,1.7,-0.6,17,36,16,8,65,460,15,3,1,10,2,6,3,1,1,5,16,42,3.38,31,4,4,1,1,0,2,0.16,1,1,0,0,0,0,20,8,8,4,10,63,37.0,17,14,13,28,4,0,616,9,99,292,241,26,616,36,57.1,16,25.4,449,3611,1974,58,31,12,21,15,472,61
519,Javi Sánchez,es ESP,DF,Valladolid,25,1997,26.6,Matches,11,0,0,34,9,0,5,46,26,0,2,0,115,46,45,50.5,1,9,2,22.2,0.34,0.08,0.11,0.50,17.9,1,0,0,0.7,0.7,0.08,+0.3,+0.3,962,1175,81.9,19443,7131,314,350,89.7,499,551,90.6,131,228,57.5,0,0.1,0.4,-0.1,3,65,3,0,74,1119,51,41,1,23,4,0,0,0,0,5,13,16,0.60,14,0,1,22,1,0,3,0.11,3,0,0,0,0,0,43,27,15,1,17,7,65.4,9,32,10,89,116,0,1444,219,838,577,41,15,1444,7,100.0,0,0.0,800,4466,2820,21,9,1,7,4,906,5
520,Manu Sánchez,es ESP,DF,Osasuna,21,2000,23.6,Matches,3,0,0,26,10,2,71,14,35,1,0,0,126,15,22,40.5,0,10,3,30.0,0.42,0.13,0.00,0.00,20.8,0,0,0,0.8,0.8,0.08,-0.8,-0.8,916,1144,80.1,13651,4619,538,603,89.2,302,375,80.5,53,106,50.0,2,2.1,3.1,-0.1,28,72,35,21,100,943,197,11,0,2,186,0,0,0,0,4,28,61,2.58,55,1,2,5,1,2,4,0.17,3,0,0,0,1,0,51,35,9,7,33,41,52.4,30,33,28,65,51,0,1385,64,330,619,451,43,1385,16,39.0,23,56.1,689,3461,1930,42,27,3,27,14,782,105
521,Esteban Saveljich,me MNE,FW,Rayo Vallecano,31,1991,0.0,Matches,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0
522,Stefan Savić,me MNE,DF,Atlético Madrid,31,1991,21.6,Matches,4,2,0,31,8,1,0,33,26,0,0,0,104,56,30,65.1,0,2,1,50.0,0.09,0.05,0.00,0.00,13.0,0,0,0,0.2,0.2,0.09,-0.2,-0.2,1001,1141,87.7,18727,7359,380,404,94.1,498,553,90.1,107,150,71.3,0,0.0,0.2,0.0,1,61,1,0,74,1107,29,22,0,4,7,0,0,0,0,5,4,11,0.51,11,0,0,8,0,0,1,0.05,1,0,0,0,0,0,39,29,7,3,26,5,66.7,13,17,9,72,67,2,1317,166,647,636,35,6,1317,4,80.0,0,0.0,777,3967,2536,20,5,1,2,3,892,6
523,Haris Seferović,ch SUI,FW,Celta Vigo,30,1992,9.9,Matches,3,0,0,4,7,14,21,1,3,0,0,0,24,19,19,50.0,3,13,7,53.8,1.32,0.71,0.23,0.43,11.0,0,0,0,1.8,1.8,0.14,+1.2,+1.2,134,218,61.5,1847,367,74,107,69.2,40,66,60.6,7,19,36.8,1,0.5,0.6,+0.5,6,11,4,0,17,196,21,0,4,1,1,0,0,0,0,1,8,17,1.73,12,0,2,1,2,0,3,0.31,2,0,1,0,0,0,6,1,4,1,3,16,37.5,5,7,6,7,6,1,284,8,23,140,124,30,284,8,50.0,7,43.8,159,641,290,12,8,9,15,7,200,44
524,Jaime Seoane,es ESP,"MF,FW",Getafe,25,1997,3.6,Matches,1,0,0,6,4,0,2,1,4,0,0,0,17,2,5,28.6,0,2,0,0.0,0.55,0.00,0.00,,21.7,0,0,0,0.1,0.1,0.04,-0.1,-0.1,87,112,77.7,1488,456,40,50,80.0,28,34,82.4,11,17,64.7,0,0.3,0.3,-0.3,6,7,1,0,7,107,4,4,1,3,0,0,0,0,0,1,1,10,2.76,7,1,0,3,1,1,0,0.00,0,0,0,0,0,0,10,3,4,3,2,5,25.0,6,7,4,11,2,0,155,4,26,82,47,2,155,2,40.0,3,60.0,84,434,208,6,3,1,4,6,94,7
525,David Silva,es ESP,MF,Real Sociedad,36,1986,21.5,Matches,3,0,0,30,33,3,20,15,21,0,0,0,137,10,12,45.5,2,30,13,43.3,1.39,0.60,0.07,0.15,15.4,1,0,0,3.8,3.8,0.13,-1.8,-1.8,983,1165,84.4,15023,3274,514,573,89.7,352,411,85.6,68,93,73.1,5,3.6,3.0,+1.4,35,93,37,2,162,1120,37,16,9,5,6,3,1,2,0,8,17,77,3.58,67,0,3,2,1,2,14,0.65,13,0,0,0,0,1,36,11,18,7,11,47,57.9,8,17,15,51,16,0,1378,24,136,700,560,78,1378,19,40.4,19,40.4,881,4932,2318,70,68,19,37,24,1045,121
526,Rui Silva,pt POR,GK,Betis,28,1994,26.0,Matches,2,0,0,0,2,0,0,0,1,0,0,0,43,6,1,85.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,593,886,66.9,18170,13730,98,99,99.0,248,256,96.9,245,525,46.7,0,0.0,0.2,0.0,0,14,1,0,0,562,320,106,1,1,0,0,0,0,0,4,0,1,0.04,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,4,4,0,0,4,1,100.0,0,0,0,4,12,1,937,783,933,5,0,0,937,1,100.0,0,0.0,462,2369,1283,0,0,0,0,0,360,0
527,Simo,es ESP,DF,Espanyol,17,2005,1.6,Matches,0,0,0,2,0,0,0,0,1,0,1,0,6,2,4,33.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,58,61,95.1,998,384,31,32,96.9,21,21,100.0,6,7,85.7,0,0.0,0.0,0.0,0,11,0,0,11,57,4,1,0,0,1,0,0,0,0,0,1,1,0.60,1,0,0,4,0,0,1,0.60,1,0,0,0,0,0,3,3,0,0,2,0,66.7,1,5,1,3,3,0,79,14,32,46,2,0,79,0,,0,,46,241,143,2,0,0,0,2,47,1
