player_rank,player_name,nationality,position,club,age,birth_year,minutes_played_90s,Matches,yellow_cards,red_cards,second_yellow_cards,fouls_committed,fouls_drawn,offsides,crosses,interceptions_misc,tackles_won_misc,penalties_won,penalties_conceded,own_goals,ball_recoveries,aerial_duels_won,aerial_duels_lost,aerial_duel_win_pct,goals,shots_total,shots_on_target,shots_on_target_pct,shots_per_90,shots_on_target_per_90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,free_kick_shots,penalty_goals,penalty_attempts,expected_goals,non_penalty_expected_goals,non_penalty_xg_per_shot,goals_minus_xg,non_penalty_goals_minus_xg,passes_completed_total,passes_attempted_total,pass_completion_pct_total,total_passing_distance,progressive_passing_distance,passes_completed_short,passes_attempted_short,pass_completion_pct_short,passes_completed_medium,passes_attempted_medium,pass_completion_pct_medium,passes_completed_long,passes_attempted_long,pass_completion_pct_long,assists,expected_assists_goals,expected_assists,assists_minus_xag,key_passes,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,live_ball_passes,dead_ball_passes,free_kick_passes,through_balls,switches_of_play,throw_ins,corner_kicks,corners_in_swinging,corners_out_swinging,straight_corners,offsides_passes,blocked_passes,shot_creating_actions,shot_creating_actions_per_90,sca_live_passes,sca_dead_passes,sca_take_ons,sca_shots,sca_fouls_drawn,sca_defensive_actions,goal_creating_actions,goal_creating_actions_per_90,gca_live_passes,gca_dead_passes,gca_take_ons,gca_shots,gca_fouls_drawn,gca_defensive_actions,tackles_total,tackles_defensive_third,tackles_middle_third,tackles_attacking_third,tackles_attempted,tackles_attempted_total,tackle_success_pct,challenges_lost,blocks_defensive,passes_blocked,tackles_plus_interceptions,clearances,errors_leading_to_shot,touches,touches_defensive_penalty_area,touches_defensive_third,touches_middle_third,touches_attacking_third,touches_attacking_penalty_area,live_ball_touches,successful_take_ons,take_on_success_pct,times_tackled_while_dribbling,tackled_while_dribbling_pct,carries,total_carry_distance,progressive_carry_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,times_dispossessed,ball_receipts,progressive_receives
1,Max Aarons,eng ENG,DF,Bournemouth,23,2000,13.7,Matches,1,0,0,12,26,2,13,8,19,0,1,0,75,5,11,31.3,0,2,0,0,0.15,0,0,,23.9,0,0,0,0,0,0.02,0,0,450,581,77.5,7402,2789,220,248,88.7,188,235,80,34,63,54,1,0.8,0.9,0.2,7,25,13,2,43,453,127,11,2,3,116,0,0,0,0,1,23,23,1.68,16,4,0,5,3,0,2,0.15,2,0,0,0,0,0,29,20,7,2,20,34,58.8,14,9,4,37,27,0,711,43,252,303,165,11,711,14,41.2,12,35.3,364,2174,1121,22,12,7,13,8,371,26
2,Joshua Acheampong,eng ENG,DF,Chelsea,17,2006,0.1,Matches,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,1,2,50,18,7,0,0,,1,1,100,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,15,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,3,0,0,0,0,6,5,5,0,1,0,6,0,,0,,1,18,12,0,0,0,0,0,0,0
3,Tyler Adams,us USA,MF,Bournemouth,24,1999,1.3,Matches,0,0,0,0,3,0,1,4,3,0,0,0,7,2,3,40,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,59,71,83.1,973,262,35,39,89.7,18,24,75,6,8,75,0,0.1,0,-0.1,1,9,0,0,5,67,4,3,0,1,1,0,0,0,0,0,0,3,2.25,2,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,3,0,2,3,66.7,1,2,2,8,2,0,91,3,23,54,14,4,91,2,66.7,0,0,44,193,116,4,1,2,3,0,52,1
4,Tosin Adarabioyo,eng ENG,DF,Fulham,25,1997,18,Matches,2,0,0,10,5,0,1,25,11,0,0,0,43,56,28,66.7,2,14,5,35.7,0.78,0.28,0.14,0.4,14.2,0,0,0,0.7,0.7,0.05,1.3,1.3,1028,1216,84.5,21010,7956,277,307,90.2,627,699,89.7,115,177,65,0,0.1,0.3,-0.1,2,47,2,0,62,1181,33,28,1,9,2,0,0,0,0,2,8,10,0.56,6,0,0,11,0,0,0,0,0,0,0,0,0,0,21,16,5,0,12,3,57.1,9,16,5,46,80,0,1390,181,713,631,48,29,1390,1,33.3,0,0,817,4560,2661,10,12,1,4,4,1009,5
5,Elijah Adebayo,eng ENG,FW,Luton Town,25,1998,15.8,Matches,1,0,0,27,16,13,5,6,1,0,0,0,34,43,43,50,10,31,14,45.2,1.97,0.89,0.32,0.71,9.6,0,0,0,5.9,5.9,0.19,4.1,4.1,144,204,70.6,1847,385,94,122,77,41,60,68.3,3,6,50,0,0.7,0.4,-0.7,14,9,4,0,23,202,1,0,1,0,1,0,0,0,0,1,5,31,1.97,19,0,5,2,2,0,5,0.32,2,0,0,3,0,0,4,1,0,3,1,67,8.3,11,13,11,10,25,0,462,27,52,172,243,82,462,18,26.9,46,68.7,265,1516,425,16,15,13,62,34,337,110
6,Simon Adingra,ci CIV,FW,Brighton,21,2002,24.7,Matches,3,0,0,29,19,17,76,19,20,1,0,0,118,8,12,40,6,52,22,42.3,2.11,0.89,0.12,0.27,15.9,0,0,0,4.3,4.3,0.08,1.7,1.7,634,840,75.5,8828,1713,412,491,83.9,185,245,75.5,20,38,52.6,1,3.7,3.5,-2.7,33,17,33,11,50,815,23,3,7,2,15,5,0,1,0,2,29,77,3.12,51,1,13,1,3,2,4,0.16,3,0,0,0,0,1,45,23,11,11,19,123,45.2,23,31,30,64,22,0,1159,36,187,364,627,153,1159,50,40.7,64,52,773,5063,2996,111,48,63,48,28,795,278
7,Nayef Aguerd,ma MAR,DF,West Ham,27,1996,20.6,Matches,3,1,1,10,6,0,5,17,14,0,1,0,102,48,32,60,1,14,3,21.4,0.68,0.15,0.07,0.33,10.8,0,0,0,1.5,1.5,0.11,-0.5,-0.5,943,1177,80.1,19870,8804,335,360,93.1,452,493,91.7,143,297,48.1,0,0.3,0.4,-0.3,4,74,2,0,68,1100,75,55,1,29,6,0,0,0,0,2,5,14,0.68,12,1,0,24,0,0,0,0,0,0,0,0,0,0,26,19,7,0,16,5,72.7,6,33,9,43,85,2,1373,187,709,618,50,21,1373,3,60,2,40,861,4211,2388,10,8,0,10,2,912,3
8,Brandon Aguilera,cr CRC,FW,Nott'ham Forest,20,2003,0.1,Matches,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,4,8,50,48,23,3,6,50,1,2,50,0,0,,0,0,0,0,0,1,0,0,0,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,11,1,3,4,4,0,11,0,,0,,4,16,12,0,1,0,0,0,6,1
9,Naouirou Ahamada,fr FRA,"MF,FW",Crystal Palace,21,2002,3.9,Matches,4,1,1,9,6,1,6,2,9,0,0,0,30,3,3,50,0,9,2,22.2,2.32,0.52,0,0,20.4,0,0,0,0.5,0.5,0.05,-0.5,-0.5,150,187,80.2,2455,628,76,89,85.4,59,69,85.5,10,14,71.4,0,0,0.1,0,1,12,0,0,25,183,4,1,0,0,2,0,0,0,0,0,8,9,2.3,9,0,0,0,0,0,3,0.77,3,0,0,0,0,0,13,5,6,2,8,13,47.1,9,3,3,15,4,0,240,6,46,123,75,8,240,7,53.8,5,38.5,150,1018,486,19,8,4,8,11,169,20
10,Anel Ahmedhodžić,ba BIH,DF,Sheffield Utd,24,1999,29.4,Matches,11,1,1,34,13,2,6,34,36,0,0,0,106,52,36,59.1,2,19,5,26.3,0.65,0.17,0.11,0.4,11.9,0,0,0,3.1,3.1,0.17,-1.1,-1.1,749,993,75.4,12780,5078,334,386,86.5,348,425,81.9,54,137,39.4,0,0.8,0.6,-0.8,7,41,3,1,43,955,36,11,1,2,25,0,0,0,0,2,20,26,0.88,23,0,0,26,0,0,1,0.03,0,0,0,1,0,0,64,48,14,2,30,21,61.2,19,43,17,98,137,2,1336,229,736,507,104,33,1336,11,52.4,9,42.9,606,3527,1953,15,15,3,14,11,697,21
11,Ola Aina,ng NGA,DF,Nott'ham Forest,26,1996,18.8,Matches,3,0,0,18,25,2,28,18,31,0,1,0,97,17,12,58.6,1,11,1,9.1,0.59,0.05,0.09,1,26.6,0,0,0,0.3,0.3,0.02,0.7,0.7,605,803,75.3,9657,4065,329,375,87.7,217,284,76.4,46,99,46.5,1,0.9,1,0.1,11,58,13,6,69,650,150,12,2,2,138,0,0,0,0,3,17,38,2.02,25,5,3,3,3,1,1,0.05,1,0,0,0,0,0,47,31,12,4,29,45,72.5,11,19,16,65,51,1,1020,62,340,464,227,13,1020,27,60,14,31.1,494,3136,1828,52,28,11,24,10,539,37
12,Rayan Aït-Nouri,dz ALG,"DF,MF",Wolves,22,2001,25.9,Matches,7,0,0,25,53,8,41,15,44,1,1,0,136,21,25,45.7,2,24,8,33.3,0.93,0.31,0.08,0.25,16.8,0,0,0,3.3,3.3,0.14,-1.3,-1.3,1005,1190,84.5,13946,3935,627,688,91.1,297,344,86.3,38,72,52.8,1,2.4,1.7,-1.4,25,60,13,4,99,1047,138,24,2,5,106,8,5,2,0,5,24,65,2.51,41,9,6,6,6,0,5,0.19,2,0,0,0,3,0,71,41,23,7,28,115,57.1,21,32,26,86,38,0,1523,56,406,699,446,49,1523,62,53.9,39,33.9,868,4898,2435,67,48,8,51,56,1007,99
13,Kristoffer Ajer,no NOR,DF,Brentford,25,1998,20.4,Matches,5,0,0,25,10,1,22,25,21,0,0,0,60,63,23,73.3,2,12,4,33.3,0.59,0.2,0.17,0.5,9.9,0,0,0,1.3,1.3,0.11,0.7,0.7,610,810,75.3,10210,3786,291,337,86.4,263,332,79.2,45,103,43.7,1,2.3,2.7,-1.3,12,56,10,3,61,730,79,9,1,9,65,0,0,0,0,1,11,27,1.33,24,0,1,11,0,0,3,0.15,3,0,0,0,0,0,38,25,9,4,23,12,63.9,13,26,15,63,79,1,1042,112,430,457,158,58,1042,10,83.3,2,16.7,464,2367,1435,22,11,5,16,6,563,31
14,Manuel Akanji,ch SUI,"DF,MF",Manchester City,28,1995,27.9,Matches,4,1,1,17,19,0,9,23,28,0,0,0,142,27,27,50,2,15,5,33.3,0.54,0.18,0.13,0.4,17,0,0,0,1.9,1.9,0.13,0.1,0.1,2180,2334,93.4,35688,9787,1091,1136,96,923,975,94.7,126,163,77.3,0,0.5,1.8,-0.5,13,214,15,2,148,2261,71,34,4,15,27,0,0,0,0,2,10,55,1.97,45,1,0,12,2,4,4,0.14,4,0,0,0,0,0,42,16,18,8,22,4,56.4,17,28,16,65,70,3,2544,163,779,1385,392,27,2544,2,50,2,50,1639,8282,4923,46,51,3,14,9,1983,36
15,Nathan Aké,nl NED,DF,Manchester City,28,1995,22.7,Matches,0,0,0,10,18,0,11,14,16,0,0,0,119,46,28,62.2,2,20,5,25,0.88,0.22,0.1,0.4,10.8,0,0,0,2.5,2.5,0.12,-0.5,-0.5,1716,1864,92.1,26189,8717,882,921,95.8,750,796,94.2,43,85,50.6,2,1.2,1.1,0.8,10,148,5,1,116,1744,118,32,1,3,81,0,0,0,0,2,14,36,1.59,28,0,2,2,1,1,6,0.26,3,0,1,2,0,0,26,15,8,3,13,10,65,7,17,15,40,54,0,2026,105,634,1116,281,38,2026,5,50,3,30,1280,6039,3501,24,43,1,8,2,1507,18
16,Thiago Alcántara,es ESP,MF,Liverpool,32,1991,0.1,Matches,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,7,10,70,130,30,3,3,100,3,4,75,1,2,50,0,0,0,0,0,0,0,0,0,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,10,0,4,5,1,0,10,0,,0,,9,33,15,0,0,0,0,0,9,0
17,Trent Alexander-Arnold,eng ENG,DF,Liverpool,24,1998,23.9,Matches,6,0,0,9,9,2,168,31,26,0,0,0,176,8,6,57.1,3,47,8,17,1.96,0.33,0.06,0.38,24.4,5,0,0,2.6,2.3,0.05,0.4,0.7,1553,2062,75.3,30386,12434,676,734,92.1,607,762,79.7,244,495,49.3,4,7.2,6.1,-3.2,64,202,57,18,205,1705,346,77,22,32,198,71,10,52,0,11,23,126,5.27,80,33,5,2,0,2,7,0.29,4,3,0,0,0,0,39,26,11,2,27,52,31,60,22,20,70,48,5,2296,75,523,1217,582,34,2296,28,53.8,21,40.4,1250,5701,2724,45,48,7,27,6,1492,97
18,Alisson,br BRA,GK,Liverpool,30,1992,28,Matches,1,0,0,1,5,0,0,0,0,0,0,0,36,6,2,75,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,985,1142,86.3,21428,13147,238,239,99.6,597,607,98.4,147,284,51.8,0,0,0,0,1,8,0,0,5,983,154,38,0,5,0,0,0,0,0,5,3,11,0.39,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11,4,1196,754,1145,52,0,0,1196,0,,0,,850,3713,2361,0,0,0,4,0,764,0
19,Miguel Almirón,py PAR,FW,Newcastle Utd,29,1994,21.5,Matches,2,0,0,16,22,10,24,10,24,0,0,0,97,6,7,46.2,3,41,12,29.3,1.91,0.56,0.07,0.25,16.1,0,0,0,4.5,4.5,0.11,-1.5,-1.5,668,801,83.4,9023,1846,411,456,90.1,208,250,83.2,21,38,55.3,1,2.6,2.4,-1.6,24,38,21,3,78,788,10,2,5,0,7,1,0,0,0,3,16,52,2.41,40,1,3,2,1,0,4,0.19,2,1,0,1,0,0,36,13,15,8,11,52,37.9,18,29,27,46,13,0,1029,25,137,430,475,86,1029,23,44.2,22,42.3,652,4488,2276,78,43,22,30,27,741,162
20,Edson Álvarez,mx MEX,MF,West Ham,25,1997,26.4,Matches,11,0,0,33,15,1,4,42,39,0,1,0,164,30,34,46.9,1,17,3,17.6,0.64,0.11,0.06,0.33,21.1,0,0,0,1.3,1.3,0.08,-0.3,-0.3,1033,1207,85.6,17083,5225,518,573,90.4,401,445,90.1,87,132,65.9,1,0.6,0.8,0.4,12,87,6,1,91,1184,18,15,2,9,3,0,0,0,0,5,14,32,1.21,24,0,2,20,0,3,2,0.08,2,0,0,0,0,0,80,47,26,7,31,42,47,35,59,39,122,81,0,1599,150,565,854,201,16,1599,27,64.3,14,33.3,890,5147,2227,20,27,1,38,30,948,26
21,Julián Álvarez,ar ARG,"MF,FW",Manchester City,23,2000,29.4,Matches,2,0,0,23,13,2,137,2,13,2,0,0,98,4,24,14.3,11,96,37,38.5,3.26,1.26,0.09,0.24,17.8,13,2,2,13,11.5,0.12,-2,-2.5,1011,1258,80.4,13977,2992,615,679,90.6,272,328,82.9,58,145,40,8,6.4,6.3,1.6,67,43,41,4,103,1069,185,25,9,1,7,129,44,36,2,4,27,118,4.01,74,28,4,0,2,0,15,0.51,12,1,0,0,2,0,24,5,8,11,8,42,25,24,30,30,26,14,1,1554,20,107,473,988,149,1552,20,47.6,22,52.4,914,4459,2092,64,59,28,56,36,1103,180
22,Zeki Amdouni,ch SUI,FW,Burnley,22,2000,21.7,Matches,2,0,0,22,39,2,8,9,18,1,0,0,79,15,56,21.1,5,48,21,43.8,2.21,0.97,0.08,0.19,17.8,0,1,1,5.8,5,0.1,-0.8,-1,396,500,79.2,6229,1153,216,265,81.5,141,161,87.6,24,35,68.6,1,1.4,1.3,-0.4,16,28,9,0,49,445,51,2,7,1,0,3,0,0,0,4,19,50,2.3,30,0,5,10,5,3,4,0.18,1,0,2,0,1,0,27,1,15,11,7,88,28,18,23,13,36,10,0,789,24,94,379,337,68,788,29,33,47,53.4,468,3229,1654,63,30,20,67,32,513,93
23,Sofyan Amrabat,ma MAR,"MF,DF",Manchester Utd,26,1996,10.4,Matches,6,0,0,24,10,0,7,8,16,0,0,0,60,5,6,45.5,0,3,0,0,0.29,0,0,,26.1,0,0,0,0.1,0.1,0.02,-0.1,-0.1,578,664,87,10308,2747,244,274,89.1,264,296,89.2,56,67,83.6,0,0.3,0.4,-0.3,6,62,6,1,66,642,21,10,0,8,11,0,0,0,0,1,10,19,1.82,19,0,0,7,0,0,1,0.1,1,0,0,0,0,0,27,17,8,2,17,10,54.8,14,20,13,35,19,2,770,48,218,439,120,1,770,6,60,2,20,489,2362,947,6,8,0,9,11,545,10
24,Joachim Andersen,dk DEN,DF,Crystal Palace,27,1996,37.9,Matches,7,0,0,43,23,1,31,41,35,0,0,0,193,89,46,65.9,2,21,8,38.1,0.55,0.21,0.1,0.25,12.8,1,0,0,1.7,1.7,0.08,0.3,0.3,1731,2209,78.4,37874,14700,488,559,87.3,950,1041,91.3,281,547,51.4,3,2.8,2.3,0.2,20,171,17,8,147,2073,121,110,7,31,8,0,0,0,0,15,22,47,1.24,41,1,0,18,0,2,5,0.13,5,0,0,0,0,0,56,33,21,2,29,23,74.4,10,33,15,97,207,1,2609,337,1320,1160,140,44,2609,14,60.9,6,26.1,1367,7243,4207,21,11,0,11,6,1604,10
25,Elliot Anderson,eng ENG,"MF,FW",Newcastle Utd,20,2002,11.4,Matches,3,0,0,21,19,1,19,8,18,0,0,0,60,19,12,61.3,0,19,4,21.1,1.67,0.35,0,0,14.5,0,0,0,1.5,1.5,0.08,-1.5,-1.5,370,460,80.4,5041,1322,241,274,88,108,130,83.1,8,27,29.6,2,1.9,1.2,0.1,15,36,12,0,57,431,29,3,4,1,25,1,0,0,0,0,9,34,2.98,28,0,4,4,0,0,3,0.26,3,0,0,0,0,0,24,12,9,3,15,43,51.7,14,23,19,32,23,0,640,23,109,278,267,46,640,21,48.8,18,41.9,364,2272,1213,37,23,4,28,22,416,70
26,Jaidon Anthony,eng ENG,FW,Bournemouth,23,1999,1.7,Matches,1,0,0,4,2,2,2,1,1,0,0,0,11,1,3,25,0,2,1,50,1.18,0.59,0,0,24.5,0,0,0,0.1,0.1,0.03,-0.1,-0.1,30,45,66.7,453,139,17,20,85,10,14,71.4,1,6,16.7,0,0,0,0,0,3,1,0,8,42,3,2,0,0,0,1,0,0,0,0,3,3,1.78,2,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,0,2,1,6,14.3,6,3,3,4,3,0,69,2,15,27,27,4,69,2,33.3,3,50,36,160,77,2,2,0,5,2,40,9
27,Michail Antonio,jm JAM,FW,West Ham,33,1990,18.8,Matches,6,0,0,25,28,9,27,4,8,0,0,0,55,33,53,38.4,6,30,14,46.7,1.59,0.74,0.2,0.43,13.1,0,0,0,5.8,5.8,0.19,0.2,0.2,180,308,58.4,2635,626,111,154,72.1,48,90,53.3,13,26,50,2,0.9,1.3,1.1,8,13,7,2,22,288,18,1,3,4,11,0,0,0,0,2,22,33,1.75,18,1,5,3,4,2,5,0.27,4,0,1,0,0,0,15,5,6,4,3,62,27.3,8,16,13,19,4,0,527,7,49,226,259,59,527,29,46.8,26,41.9,345,2320,1084,48,17,19,69,39,398,104
28,Antony,br BRA,FW,Manchester Utd,23,2000,14.7,Matches,5,0,0,19,32,2,16,12,21,1,1,0,96,2,21,8.7,1,43,15,34.9,2.92,1.02,0.02,0.07,18.9,0,0,0,3.4,3.4,0.08,-2.4,-2.4,468,595,78.7,6175,1608,295,348,84.8,130,153,85,16,30,53.3,1,2.8,1.9,-1.8,22,26,29,3,64,570,22,7,3,1,15,0,0,0,0,3,23,55,3.74,45,1,2,1,4,3,3,0.2,1,0,0,0,0,2,40,15,19,6,20,71,50,20,29,28,52,9,0,815,17,106,304,428,58,815,26,36.6,33,46.5,549,3686,1953,53,37,23,26,19,571,149
29,Oliver Arblaster,eng ENG,MF,Sheffield Utd,19,2004,10.5,Matches,2,0,0,10,12,0,7,16,14,0,0,1,52,9,15,37.5,0,1,1,100,0.1,0.1,0,0,16.6,0,0,0,0,0,0.04,0,0,351,441,79.6,5920,1788,174,201,86.6,147,167,88,26,50,52,0,0.8,0.9,-0.8,11,37,6,0,43,409,29,13,1,2,0,6,3,0,0,3,9,23,2.2,19,2,0,7,0,1,2,0.19,1,0,0,1,0,0,23,11,8,4,7,26,46.7,8,17,10,39,9,0,555,31,135,335,93,4,555,17,65.4,6,23.1,281,1521,661,14,12,3,13,8,317,4
30,Cameron Archer,eng ENG,"FW,MF",Sheffield Utd,22,2001,20.4,Matches,1,0,0,14,20,13,5,1,13,0,0,0,62,7,42,14.3,4,42,9,21.4,2.06,0.44,0.1,0.44,16.7,0,0,0,5.5,5.5,0.14,-1.5,-1.5,266,332,80.1,3245,471,171,207,82.6,64,69,92.8,5,9,55.6,1,2.8,1.4,-1.8,23,11,7,2,15,310,22,0,2,1,0,0,0,0,0,0,15,49,2.41,32,0,9,3,1,2,4,0.2,2,0,1,1,0,0,18,6,6,6,8,61,44.4,10,22,19,19,11,0,563,13,63,205,307,69,563,30,49.2,29,47.5,346,2187,982,33,29,22,61,45,387,114
31,Cameron Archer,eng ENG,MF,Aston Villa,22,2001,0.1,Matches,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,5,6,83.3,42,0,5,6,83.3,0,0,,0,0,,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,7,0,1,4,2,0,7,0,,0,,5,39,28,1,1,0,1,0,7,0
32,Alphonse Areola,fr FRA,GK,West Ham,30,1993,30,Matches,1,0,0,2,3,0,0,1,1,0,2,1,15,10,1,90.9,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,562,867,64.8,17799,12917,74,76,97.4,245,246,99.6,241,538,44.8,0,0,0,0,0,8,0,0,1,555,307,88,0,2,0,0,0,0,0,5,0,2,0.07,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,33.3,2,0,0,2,16,0,976,835,969,7,0,0,976,1,100,0,0,498,3168,1945,0,1,0,0,0,345,0
33,Lorenz Assignon,tg TOG,DF,Burnley,23,2000,13.7,Matches,5,1,1,33,16,1,29,19,17,0,2,0,67,13,17,43.3,1,9,4,44.4,0.66,0.29,0.11,0.25,22.1,0,0,0,0.4,0.4,0.04,0.6,0.6,352,485,72.6,5411,1984,182,225,80.9,152,194,78.4,10,31,32.3,2,2.6,1.6,-0.6,13,16,10,5,34,378,104,3,0,0,101,0,0,0,0,3,19,23,1.68,18,3,1,7,1,0,2,0.15,2,0,0,0,0,0,35,18,13,4,14,32,51.9,13,22,15,54,43,1,670,46,210,270,207,30,670,13,40.6,17,53.1,283,1862,1063,38,16,12,27,13,303,57
34,Serge Aurier,ci CIV,"DF,MF",Nott'ham Forest,30,1992,9.3,Matches,2,0,0,8,9,0,22,9,14,0,0,0,50,30,20,60,0,6,1,16.7,0.65,0.11,0,0,16,0,0,0,0.2,0.2,0.03,-0.2,-0.2,348,448,77.7,5238,2147,191,225,84.9,130,156,83.3,17,45,37.8,2,0.5,0.5,1.5,4,31,9,4,47,407,41,6,1,0,35,0,0,0,0,0,8,15,1.62,12,1,1,3,1,0,2,0.22,2,0,0,0,0,0,20,9,11,0,5,14,45.5,6,10,7,29,36,1,568,39,165,280,127,13,568,3,21.4,11,78.6,249,1039,532,10,15,1,9,8,347,29
35,Taiwo Awoniyi,ng NGA,FW,Nott'ham Forest,25,1997,11.6,Matches,2,0,0,9,16,13,1,1,7,0,0,0,33,21,48,30.4,6,22,11,50,1.9,0.95,0.27,0.55,11.5,0,0,0,4.7,4.7,0.22,1.3,1.3,127,175,72.6,1594,312,88,111,79.3,34,47,72.3,3,5,60,3,1.7,0.9,1.3,10,6,3,0,14,169,4,0,2,1,0,0,0,0,0,2,3,30,2.6,22,0,2,2,4,2,6,0.52,5,0,1,0,0,0,9,1,4,4,1,16,50,1,7,5,10,9,0,294,14,30,153,118,43,294,8,50,7,43.8,168,748,320,8,6,6,38,11,209,45
36,Jordan Ayew,gh GHA,"FW,MF",Crystal Palace,31,1991,28.3,Matches,9,1,1,46,94,7,97,16,36,0,0,0,155,33,61,35.1,4,48,19,39.6,1.7,0.67,0.08,0.21,18.2,0,0,0,3.9,3.9,0.08,0.1,0.1,681,920,74,9753,1856,417,478,87.2,213,285,74.7,24,74,32.4,7,4.2,2.7,2.8,25,43,26,10,63,876,42,8,4,5,10,22,6,8,0,2,43,72,2.55,40,5,5,2,12,3,12,0.42,10,0,1,0,1,0,65,23,28,14,21,130,50,21,43,41,81,15,0,1349,24,182,592,598,95,1349,52,40,57,43.8,836,5509,2119,74,55,20,85,80,967,173
37,Benoît Badiashile,fr FRA,DF,Chelsea,22,2001,14.9,Matches,3,0,0,17,6,1,2,18,15,0,1,1,82,28,22,56,0,6,1,16.7,0.4,0.07,0,0,14.1,0,0,0,0.3,0.3,0.05,-0.3,-0.3,1065,1173,90.8,18737,7087,442,463,95.5,543,584,93,71,106,67,1,1.5,0.9,-0.5,6,48,4,0,46,1137,36,27,1,2,6,0,0,0,0,0,6,23,1.55,18,0,0,14,1,2,3,0.2,3,0,0,0,0,0,21,12,9,0,9,1,64.3,5,21,7,39,66,2,1321,178,662,612,52,11,1321,0,0,0,0,765,3225,1734,3,5,1,6,4,976,3
38,Leon Bailey,jm JAM,"MF,FW",Aston Villa,25,1997,23,Matches,5,0,0,26,26,11,75,9,7,0,0,0,107,14,24,36.8,10,53,18,34,2.31,0.78,0.19,0.56,16.1,1,0,0,6.3,6.3,0.12,3.7,3.7,573,790,72.5,8993,2559,327,391,83.6,184,242,76,48,82,58.5,9,9.2,7.3,-0.2,52,38,51,7,82,745,40,2,11,7,9,29,20,0,0,5,38,97,4.22,70,7,9,1,3,1,11,0.48,7,1,1,2,0,0,13,7,4,2,5,119,25,15,18,17,22,6,0,1040,19,151,318,589,129,1040,57,47.9,50,42,717,5148,2495,102,47,41,51,41,764,226
