player_rank,player_name,nationality,position,club,age,birth_year,minutes_played_90s,Matches,yellow_cards,red_cards,second_yellow_cards,fouls_committed,fouls_drawn,offsides,crosses,interceptions_misc,tackles_won_misc,penalties_won,penalties_conceded,own_goals,ball_recoveries,aerial_duels_won,aerial_duels_lost,aerial_duel_win_pct,goals,shots_total,shots_on_target,shots_on_target_pct,shots_per_90,shots_on_target_per_90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,free_kick_shots,penalty_goals,penalty_attempts,expected_goals,non_penalty_expected_goals,non_penalty_xg_per_shot,goals_minus_xg,non_penalty_goals_minus_xg,passes_completed_total,passes_attempted_total,pass_completion_pct_total,total_passing_distance,progressive_passing_distance,passes_completed_short,passes_attempted_short,pass_completion_pct_short,passes_completed_medium,passes_attempted_medium,pass_completion_pct_medium,passes_completed_long,passes_attempted_long,pass_completion_pct_long,assists,expected_assists_goals,expected_assists,assists_minus_xag,key_passes,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,live_ball_passes,dead_ball_passes,free_kick_passes,through_balls,switches_of_play,throw_ins,corner_kicks,corners_in_swinging,corners_out_swinging,straight_corners,offsides_passes,blocked_passes,shot_creating_actions,shot_creating_actions_per_90,sca_live_passes,sca_dead_passes,sca_take_ons,sca_shots,sca_fouls_drawn,sca_defensive_actions,goal_creating_actions,goal_creating_actions_per_90,gca_live_passes,gca_dead_passes,gca_take_ons,gca_shots,gca_fouls_drawn,gca_defensive_actions,tackles_total,tackles_defensive_third,tackles_middle_third,tackles_attacking_third,tackles_attempted,tackles_attempted_total,tackle_success_pct,challenges_lost,blocks_defensive,passes_blocked,tackles_plus_interceptions,clearances,errors_leading_to_shot,touches,touches_defensive_penalty_area,touches_defensive_third,touches_middle_third,touches_attacking_third,touches_attacking_penalty_area,live_ball_touches,successful_take_ons,take_on_success_pct,times_tackled_while_dribbling,tackled_while_dribbling_pct,carries,total_carry_distance,progressive_carry_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,times_dispossessed,ball_receipts,progressive_receives
1,Tammy Abraham,eng ENG,FW,Roma,25,1997,2.7,Matches,1,0,0,6,5,2,2,0,1,1,0,0,1,6,5,54.5,1,4,2,50,1.49,0.74,0.25,0.5,11.9,0,0,0,0.6,0.6,0.15,0.4,0.4,19,40,47.5,231,75,14,25,56,4,9,44.4,0,1,0,0,0.1,0,-0.1,3,1,1,0,4,37,2,0,0,0,0,0,0,0,0,1,1,3,1.12,1,0,0,0,1,1,1,0.37,0,0,0,0,1,0,3,0,1,2,0,6,,0,1,1,3,4,0,69,4,4,31,34,9,69,2,33.3,4,66.7,37,208,111,6,2,2,9,2,53,15
2,Francesco Acerbi,it ITA,DF,Inter,35,1988,26.5,Matches,1,0,0,19,24,3,9,32,13,0,0,0,102,70,37,65.4,3,15,6,40,0.57,0.23,0.2,0.5,12,0,0,0,1.6,1.6,0.11,1.4,1.4,1615,1781,90.7,29326,9174,601,650,92.5,856,908,94.3,132,179,73.7,1,1.8,1.3,-0.8,7,58,5,2,87,1719,60,43,0,11,8,0,0,0,0,2,5,22,0.83,19,0,0,13,0,0,1,0.04,1,0,0,0,0,0,22,16,6,0,11,3,78.6,3,20,7,54,77,1,1977,219,941,946,98,25,1977,2,66.7,1,33.3,1211,5779,3081,21,11,0,4,1,1446,24
3,Yacine Adli,fr FRA,MF,Milan,23,2000,15.6,Matches,3,0,0,26,9,1,50,20,17,0,1,0,94,15,10,60,1,4,1,25,0.26,0.06,0.25,1,19.8,0,0,0,0.3,0.3,0.07,0.7,0.7,1125,1300,86.5,20142,6752,489,534,91.6,487,534,91.2,120,177,67.8,2,2.2,2,-0.2,22,149,16,6,125,1220,78,36,3,16,7,35,11,12,0,2,14,62,3.97,41,18,3,8,0,0,8,0.51,4,3,1,0,0,0,34,17,13,4,13,32,37.1,22,22,14,54,15,1,1439,38,262,913,281,8,1439,22,68.8,8,25,873,4728,2144,30,27,3,18,10,1053,26
4,Michel Aebischer,ch SUI,MF,Bologna,26,1997,24.8,Matches,8,0,0,37,30,0,12,12,20,0,0,0,135,11,16,40.7,0,18,5,27.8,0.73,0.2,0,0,22.4,0,0,0,1.1,1.1,0.06,-1.1,-1.1,1370,1503,91.2,21535,5798,729,773,94.3,525,562,93.4,79,103,76.7,1,1.5,1,-0.5,17,117,9,1,125,1447,53,34,3,5,13,6,3,0,0,3,17,40,1.61,32,2,2,6,2,0,1,0.04,1,0,0,0,0,0,35,9,20,6,15,25,44.1,19,28,22,47,22,0,1694,51,405,1032,270,23,1694,14,56,9,36,1040,4507,2248,26,23,3,27,19,1308,55
5,Lucien Agoume,fr FRA,MF,Inter,21,2002,0.1,Matches,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,5,5,100,75,7,3,3,100,2,2,100,0,0,,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,0,0,0,0,0,0,6,0,1,4,1,0,6,0,0,1,100,2,7,5,0,1,0,0,0,4,0
6,Marley Aké,fr FRA,FW,Udinese,22,2001,0.1,Matches,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,1,0,0,0,1,0,,0,,1,0,0,0,0,0,1,0,1,0
7,Ebenezer Akinsanmiro,ng NGA,MF,Inter,18,2004,0.2,Matches,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,7,8,87.5,83,45,6,6,100,1,1,100,0,0,,0,0,0,0,1,1,1,0,2,7,1,1,0,0,0,0,0,0,0,0,0,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,0,3,6,1,0,9,0,,0,,9,83,11,0,1,0,1,1,10,0
8,Jean-Daniel Akpa-Akpro,ci CIV,MF,Monza,30,1992,7.8,Matches,5,0,0,15,5,0,1,12,11,0,1,0,29,5,7,41.7,0,7,3,42.9,0.89,0.38,0,0,26.6,0,0,0,0.5,0.5,0.08,-0.5,-0.5,220,263,83.7,3557,826,113,128,88.3,95,104,91.3,12,15,80,0,0.1,0.2,-0.1,1,14,0,0,10,260,3,1,1,1,0,0,0,0,0,0,11,5,0.64,5,0,0,4,0,0,0,0,0,0,0,0,0,0,20,14,4,2,3,10,33.3,6,10,6,32,15,1,348,22,111,187,58,5,348,3,30,3,30,189,1226,591,11,9,1,13,7,215,12
9,David Akpan Ankeye,ng NGA,FW,Genoa,21,2002,0.6,Matches,0,0,0,2,1,0,1,0,0,0,0,0,4,0,1,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,8,9,88.9,85,20,2,3,66.7,3,3,100,0,0,,0,0,0.4,0,0,0,1,0,1,9,0,0,0,0,0,0,0,0,0,0,0,1,1.58,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,5,0,1,1,1,1,0,0,17,0,2,6,10,1,17,2,40,3,60,12,109,61,3,1,1,2,0,10,2
10,Luis Alberto,es ESP,MF,Lazio,30,1992,25.7,Matches,7,0,0,16,23,6,150,7,20,0,0,0,140,10,19,34.5,5,56,15,26.8,2.18,0.58,0.09,0.33,22,4,0,0,4.7,4.7,0.08,0.3,0.3,1303,1679,77.6,20459,6568,711,797,89.2,442,538,82.2,104,239,43.5,7,4.7,4.8,2.3,64,172,48,4,212,1452,215,71,14,6,13,114,45,54,0,12,28,118,4.6,81,29,0,4,0,1,9,0.35,8,1,0,0,0,0,35,16,12,7,15,45,28.3,38,34,30,42,13,0,1904,23,231,1004,690,61,1904,25,55.6,16,35.6,1018,5303,3192,83,62,10,33,24,1383,124
